1	img	505.856,189.994,799.744,450.016,/m/07j7r,tree&&753.664,384.00600000000003,827.392,446.572,/m/0c9ph5,flower&&61.44,175.07,103.424,209.51,/m/0c9ph5,flower&&979.968,260.596,1012.736,301.35,/m/0c9ph5,flower&&22.528,0.0,68.608,28.126,/m/0c9ph5,flower&&944.128,227.87800000000001,971.776,261.744,/m/0c9ph5,flower&&917.504,284.13,953.344,304.22,/m/0c9ph5,flower&&11.264,82.65599999999999,28.672,111.35600000000001,/m/0c9ph5,flower
2	img	238.87921144999999,80.4790954449,394.2293701,332.5823974539,1,person&&135.90338135,43.388671862699994,253.81597900000003,333.0,1,person&&175.31207275,297.2958374025,203.2565918,312.38592530939997,15,bracelet&&201.0875244,133.0114746141,217.5442505,150.71487426000002,33,necklace&&173.635376,289.8439941384,190.77471925,298.972534194,15,bracelet
3	img	4.2133788672,601.347168,117.2302245888,663.0318603264,59,motorcycle&&26.189575168,593.2811279616001,69.4329834496,667.1741943551999,1,person&&250.4593506304,469.18090821119995,275.9713134592,571.2288818688,12,street lights&&83.5744628736,580.9044189696,108.993286144,666.0187987968,1,person&&140.188964864,582.0598144512,163.6757812224,650.2283935488,1,person&&174.5197754368,578.5936279296,196.8035889152,640.599975552,1,person&&221.452026368,584.3706054912,241.815673856,644.0661620736,1,person&&218.9304199168,607.4180908032,246.329833984,637.166137728,47,bicycle&&774.5391845376,494.0872803072,795.4658202624,532.3676757503999,12,street lights&&126.7093506048,585.1408691711999,142.8848876544,632.1014404608001,1,person&&163.2969970688,593.998901376,178.3171386368,640.599975552,1,person&&388.448242176,711.3884277504001,411.5347900416,738.7371826176,67,traffic cone&&344.6851806208,698.7985840128,366.9091796992,723.1536865536,67,traffic cone&&316.981323264,689.3610839808,336.1608886272,711.5850829824001,67,traffic cone&&506.5992431616,744.5050048512,523.5195312128,768.0,67,traffic cone&&102.286987264,684.6585693696,125.511230464,700.0544433407999,67,traffic cone&&258.2247314432,671.7036132864,274.0555419648,691.1876220672,67,traffic cone&&183.180541952,681.2662353408,204.0563964928,695.8792724736,67,traffic cone&&1007.811889664,749.2888183296,1023.7615967232,767.8170166272,67,traffic cone&&978.8249511936,522.4359131136,988.9562988544,548.777343744,12,street lights&&65.8266601472,582.3691406592,78.5677490176,602.8569335807999,1,person&&107.811035136,585.9111327743999,122.5029297152,603.0375976704,1,person&&157.1594237952,590.8679198976,167.0833739776,614.3323974912,14,handbag/satchel&&133.8615723008,652.040161152,145.343261696,667.6970214912,67,traffic cone&&218.6694335488,660.9123535104,228.846313472,677.6129150208,67,traffic cone&&321.743652352,640.819335936,333.7471924224,654.9105224448,67,traffic cone&&338.1832274944,645.2554931712,349.92590336,659.0856933888,67,traffic cone&&83.664916992,659.7027588096,104.562866176,665.4771728640001,4,other shoes&&139.8680420352,642.1317138432,149.6822509568,650.1160888320001,30,boots&&858.7561034752,527.774047872,867.7857666048,535.809204096,12,street lights&&149.060058624,581.693115264,158.9215087616,588.4042968576,5,hat&&152.1773681664,639.1374511872,158.8310546432,648.7852783103999,30,boots&&65.5139160064,581.722290048,75.3098144768,588.252929664,5,hat&&174.1343993856,634.979003904,183.7822265344,640.8009033216,4,other shoes&&163.4885254144,635.4780273408,172.4710692864,641.2999267584,4,other shoes&&27.2100830208,662.9794921728001,38.2274169856,666.6917724671999,4,other shoes&&228.0819091456,584.1447753984,236.3940429824,589.0410156288001,5,hat&&168.0980225024,593.7458496,175.0832519168,598.9505615616,5,hat&&221.837280256,639.7642821888,230.9973144576,643.5130615296,4,other shoes&&183.9486084096,635.4780273408,189.9387206656,640.5841064448,4,other shoes&&233.2801513472,641.0317383168,238.2427978752,643.5130615296,4,other shoes&&93.8398437376,600.4392089856,96.6077881344,603.6474609408,15,bracelet
4	img	920.576,232.90200000000002,1014.784,567.954,/m/04yx4,man ( smile, stand )&&112.64,260.823,205.824,549.567,/m/04yx4,man ( stand )&&95.232,265.59000000000003,180.224,555.015,/m/01xyhv,suit&&275.456,271.719,357.376,510.75,/m/04yx4,man ( stand )&&167.936,254.694,239.616,526.413,/m/04yx4,man ( stand )&&577.536,254.694,652.288,512.112,/m/04yx4,man ( smile, stand )&&215.04,260.142,288.768,516.198,/m/04yx4,man ( smile, stand )&&507.904,267.63300000000004,588.8,488.277,/m/04yx4,man ( smile, stand )&&765.952,271.719,833.536,525.051,/m/04yx4,man ( smile, stand )&&440.32,268.995,513.024,498.49199999999996,/m/04yx4,man ( stand )&&642.048,279.89099999999996,704.512,505.302,/m/04yx4,man ( smile, stand )&&333.824,258.78000000000003,391.168,485.553,/m/04yx4,man ( stand )&&671.744,271.038,718.848,495.087,/m/04yx4,man ( smile, stand )&&72.704,237.66899999999998,145.408,335.052,/m/04yx4,man ( stand )&&618.496,260.142,663.552,335.052,/m/04yx4,man ( stand )&&418.816,275.805,464.896,335.052,/m/04yx4,man ( smile, stand )
5	img	643.072,409.101,679.936,463.001,/m/07j7r,tree&&559.104,411.796,582.656,461.384,/m/07j7r,tree&&361.472,447.909,388.096,487.795,/m/07j7r,tree&&612.352,415.569,638.976,454.377,/m/07j7r,tree&&586.752,410.17900000000003,610.304,451.68199999999996,/m/07j7r,tree&&332.8,458.15,354.304,477.015,/m/07j7r,tree&&308.224,464.079,321.536,483.483,/m/07j7r,tree
6	img	262.144,0.0,519.168,504.56,/m/07j7r,tree&&708.608,0.0,903.168,521.5600000000001,/m/07j7r,tree&&952.32,290.36,1014.784,375.36,/m/07j7r,tree&&524.288,306.68,562.176,418.2,/m/07j7r,tree&&879.616,286.96,920.576,354.28000000000003,/m/07j7r,tree&&145.408,325.03999999999996,174.08,375.36,/m/07j7r,tree
7	img	22.02,60.416,734.0,1016.832,/m/06msq,sculpture&&132.85399999999998,354.304,612.156,836.608,/m/0dzct,human face
8	img	381.952,361.46000000000004,754.688,681.318,/m/04bcr3,table&&0.0,420.794,403.456,681.318,/m/04bcr3,table&&386.048,314.402,967.68,450.12,/m/04bcr3,table&&557.056,487.63,1022.976,645.8539999999999,/m/04bcr3,table&&732.16,317.13,923.648,682.0,/m/01g317,person&&585.728,268.026,688.128,340.318,/m/04bcr3,table&&0.0,132.99,34.816,233.92600000000002,/m/01g317,person
9	img	550.7753906176,354.2869872827,628.1077880832,406.3305664026,22,boat&&291.6566162432,355.386474604,370.821533184,400.46655276810003,22,boat&&447.2806396928,343.3447265842,457.1225585664,352.3145752145,28,flag&&570.6478271488,382.64709472059997,577.946655232,391.88232423029996,69,lifesaver&&583.7558593536,382.8706054461,591.7248535552,391.212036158,69,lifesaver
10	img	92.16,30.176,930.816,652.72,/m/0dv5r,camera
